  0.5   21.34 0 0   0.2   0.2 0   0.3   0.3 0 0 0  0  
 0.75   26.67 0 0   0.2   0.2 0   0.3   0.3 0 0 0  0  
   1    33.40 0 0   0.4   0.4 0   0.5   0.5 0 0   0.6    0.8  
 1.25   42.16 0 0   0.6   0.6 0   0.9   0.9 0 0   1.0    1.4  
  1.5   48.26 0 0   0.9   0.9 0   1.2   1.2 0 0   1.4    1.9  
   2    60.33 0 0   1.6   1.6 0   2.2   2.2 0 0   3.3    3.5  
  2.5   73.03 0 0   3.3   3.3 0   4.0   4.0 0 0   5.1    7.0  
   3    88.90 0 0   5.0   5.0 0   6.5   6.5 0 0   8.5   11.0  
  3.5  101.60 0 0   6.8   6.8 0   8.4   8.4 0 0 0   16.0  
   4   114.30 0 0   9.0   9.0 0  13.5  13.5 0  15.6  18.0   20.0  
   5   141.30 0 0  15.5  15.5 0  22.0  22.0 0  27.8  32.0   36.0  
   6   168.28 0 0  24.5  24.5 0  35.0  35.0 0  45.2  57.0   65.0  
   8   219.08  36.5  40.9  50.0  50.0  58.0  71.0  71.0   84  100.8  120    118   
  10   273.05  56.8  71.4  88    88   0  133   107   159   185   260   0  
  12   323.85  82    108   132   125   182   219   160   268   311   450   0  
  14   355.60  132  0  183   160   245   310   205  0  425   572   0  
  16   406.40  172   206   276   206   355   450   276  0 0  809   0  
  18   457.20  219   308   390   260   494   634   340  0 0 0  0  
  20   508.00  320   420   506   320   690   861   420  0 0 0  0  
  22   558.80  394   520  0  394  0 0  520  0 0 0  0  
  24   609.60  460   702   846   460  1188  1470   600  0 0 0  0
  26   660.40  550  0 0  550  0 0  729  0 0 0  0  
  30   762.00  734  0 0  734  0 0  975  0 0 0  0  



