  0.5   21.34 0 0 0 0 0 0 0 0 0 0  0  
 0.75   26.67 0 0 0 0 0 0 0 0 0 0  0  
   1    33.40 0 0   0.3   0.3 0 0 0 0 0   0.4    0.5  
 1.25   42.16 0 0   0.4   0.4 0 0 0 0 0   0.7    0.9  
  1.5   48.26 0 0   0.6   0.6 0   0.8   0.8 0 0   1.2    1.0  
   2    60.33 0 0   1.0   1.0 0   1.5   1.5 0 0   2.2    2.3  
  2.5   73.03 0 0   2.1   2.1 0   2.8   2.8 0 0   3.4    5.0  
   3    88.90 0 0   3.0   3.0 0   4.3   4.3 0 0   6.0    7.3  
  3.5  101.60 0 0   4.5   4.5 0   6.0   6.0 0 0 0   11.0  
   4   114.30 0 0   6.3   6.3 0   8.5   8.5 0  10.4  12.0   13.0  
   5   141.30 0 0   9.6   9.6 0  14.0  14.0 0  18.6  22.0   24.0  
   6   168.28 0 0  18.0  18.0 0  23.0  23.0 0  30.0  38.0   44.0  
   8   219.08  24.4  27.0  34.0  34.0  39.1  47.5  47.5   56   66.0  80.0   79.0  
  10   273.05  38.2  46.8  58.0  58   0   88    70   106   123   174   0  
  12   323.85  55    72    88    80    121   146   104   177   207   300   0  
  14   355.60  87   0  122   105   163   205   140  0 0  382   0  
  16   406.40  115   132   174   132   236   300   174  0 0  540   0  
  18   457.20  146   205   259   167   340   422   219  0 0 0  0  
  20   508.00  210   275   338   210   457   573   275  0 0 0  0  
  22   558.80 0 0 0 0 0 0 0 0 0 0  0  
  24   609.60  298   470   564   298   783   977   392  0 0 0  0
  26   660.40 0 0 0 0 0 0 0 0 0 0  0  
  30   762.00  464  0 0  464  0 0  618  0 0 0  0  



