  0.5   21.34 0  0    0.4   0.4 0    0.5   0.5 0  0    0.5  0   
 0.75   26.67 0  0    0.5   0.5 0    0.6   0.6 0  0    0.6  0   
   1    33.40 0  0    0.8   0.8 0    0.9   0.9 0  0    1.0    1.3  
 1.25   42.16 0  0    1.3   1.3 0    1.6   1.6 0  0    2.0    2.5  
  1.5   48.26 0  0    2.0   2.0 0    2.3   2.3 0  0    3.0    3.4  
   2    60.33 0  0    3.5   3.5 0    4.0   4.0 0  0    5.0    6.3  
  2.5   73.03 0  0    6.0   6.0 0    7.0   7.0 0  0    8.0   10.5  
   3    88.90 0  0    7.0   7.0 0    8.5   8.5 0  0   10.0   13.5  
  3.5  101.60 0  0    9.0   9.0 0   12.0  12.0 0  0  0    18.0  
   4   114.30 0  0   12.0  12.0 0   15.8  15.8 0   23.5  25.0   25.0  
   5   141.30 0  0   21.0  21.0 0   26.0  26.0 0   44.5  55.0   40.0  
   6   168.28 0  0   34.0  34.0 0   40.0  40.0 0   64.0  62.0   68.0  
   8   219.08  54.0  57.0  55.0  55.0  76.0  75.0  75.0   97   115   152    148   
  10   273.05  73.0  81.0   85    85  0   161   105   180   215   260   0   
  12   323.85  120   136   147   120   226   245   160   304   353   480   0   
  14   355.60  210  0   252   165   311   369   230  0  0  0   0   
  16   406.40  222   195   280   195   458   548   280  0  0  0   0   
  18   457.20  307   399   525   249   612   710   332  0  0  0   0   
  20   508.00  342   480   706   342   834  1021   480  0  0  0   0   
  22   558.80  414   550  0   414  0  0   550  0  0  0   0   
  24   609.60  528   977  1257   528  1446  1373   610  0  0  0   0   
  26   660.40  770  0  0   770  0  0   875  0  0  0   0   
  30   762.00 1060  0  0  1060  0  0  1200  0  0  0   0   



