 Display            H         B         T1        T2        R
--------------------|---------|---------|---------|---------|
W4x13               104.775   101.600   6.350     9.525     11.113
W5x16*              127.000   127.000   6.350     9.525     9.525
W5x18.5             130.175   127.000   6.350     11.113    9.525
W6x8.5              149.225   101.600   4.763     4.763     9.525
W6x9                150.000   100.000   4.300     5.500     9.525
W6x12*              152.400   101.600   6.350     6.350     12.700
W6x16               158.750   101.600   6.350     9.525     12.700
W6x15.5*            152.400   152.400   6.350     6.350     12.700
W6x20               158.750   152.400   6.350     9.525     12.700
W6x25               161.925   155.575   7.938     11.113    12.700
W8x10               200.025   101.600   4.763     4.763     12.700
W8x13*              203.200   101.600   6.350     6.350     12.700
W8x15               206.375   101.600   3.175     6.350     14.288
W8x17*              203.200   133.350   6.350     7.938     12.700
W8x20               206.375   133.350   6.350     9.525     12.700
W8x24               200.025   165.100   6.350     9.525     12.700
W8x28*              203.200   165.100   7.938     11.113    12.700
W8x31*              203.200   203.200   7.938     11.113    12.700
W8x35               206.375   203.200   7.938     12.700    12.700
W8x40               209.550   206.375   9.525     14.288    12.700
W8x48               215.900   206.375   9.525     17.463    12.700
W8x58               222.250   209.550   12.700    20.638    12.700
W8x67               228.600   209.550   14.288    23.813    12.700
W10x19              260.350   101.600   6.350     9.525     6.350
W10x29              260.350   146.050   7.938     12.700    14.288
W10x45              257.175   203.200   9.525     15.875    14.288
W10x112             288.925   263.525   19.050    31.750    14.288
W12x22              311.150   101.600   6.350     11.113    12.700
W12x36              311.150   168.275   7.938     14.288    12.700
W12x50              311.150   206.375   9.525     15.875    19.050
W12x58              311.150   254.000   9.525     15.875    19.050
W12x190             365.125   320.675   26.988    44.450    17.463
W14x26              352.425   127.000   6.350     11.113    14.287
W14x136             374.650   374.650   17.463    26.988    17.463
W14x730             571.500   454.025   77.788    125.413   17.463
W16x31              403.225   139.700   6.350     11.113    15.875
W18x114             469.900   301.625   15.875    25.400    17.463
W21x142             546.100   333.375   17.463    28.575    19.050
W24x160             628.650   358.775   15.875    28.575    20.638
W27x117             692.150   358.775   19.050    30.163    23.813
W30x210             771.525   384.175   19.050    33.338    25.400
W33x240             850.900   403.225   20.638    34.925    26.988
W36x300             933.450   422.275   23.813    42.863    28.575
HP8x36              204.000   207.000   11.3      11.300    12.700
