	Display	A	B	T	R1	R2	Kg/m
---------+----+----+----+----+----+----+----+-----+							
○	:사용가능품목SIZE						
Х	:재고확인품목SIZE						
Х	:금속	중량표	SIZE				
65x50x9t		Х	65	50	9	6.5	4.5	7.5
90x75x9t		Х	90	75	9	8.5	6	11
100x75x7t	○	100	75	7	10	5	9.32
100x75x10t	○	100	75	10	10	7	13
125x75x7t	○	125	75	7	10	5	10.7
125x75x9t	Х	125	75	9	10	7	13
125x75x10t	○	125	75	10	10	7	14.9
125x75x13t	Х	125	75	13	10	7	19.1
125x90x10t	Х	125	90	10	10	7	16.1
125x90x13t	Х	125	90	13	10	7	20.6
150x90x9t	○	150	90	9	12	6	16.4
150x90x12t	○	150	90	12	12	8.5	21.5
150x100x9t	Х	150	100	9	12	6	17.1
150x100x12t	Х	150	100	12	12	8.5	22.4
150x100x15t	Х	150	100	15	12	8.5	27.7
200x90x9tx14t	Х	200	90	9	14	8.5	23.3
---------+----+----+----+----+----+----+----+-----+							
130x65x8t	Х	130	65	8	8	6	11.4
152x102x9.5t	Х	152	102	9.5	12	6	18.2
178x102x9.5t	Х	178	102	9.5	12	6	20.2
