Display		A	B	T	R1	R2
---------+----+----+----+----+----+----+----+						
L-20x20x3t	20	20	3	4	2	
L-25x25x3t	25	25	3	4	2	
L-25x25x4t	25	25	4	4	3	
L-30x30x3t	30	30	3	4	2	
L-30x30x4t	30	30	4	4	3	
L-30x30x5t	30	30	5	4	3	
L-30x30x6t	30	30	6	4	4	
L-40x40x3t	40	40	3	4.5	2	
L-40x40x4t	40	40	4	4.5	3	
L-40x40x5t	40	40	5	4.5	3	
L-40x40x6t	40	40	6	4.5	4	
L-50x50x4t	50	50	4	6.5	3	
L-50x50x5t	50	50	5	6.5	3	
L-50x50x6t	50	50	6	6.5	4.5	
L-60x60x5t	60	60	5	6.5	3	
L-60x60x6t	60	60	6	6.5	4	
L-65x65x5t	65	65	5	8.5	3	
L-65x65x6t	65	65	6	8.5	4	
L-65x65x7t	65	65	7	8.5	5	
L-65x65x8t	65	65	8	8.5	6	
L-70x70x6t	70	70	6	8.5	4	
L-70x70x7t	70	70	7	8.5	5	
L-70x70x8t	70	70	8	8.5	6	
L-75x75x6t	75	75	6	8.5	4	
L-75x75x7t	75	75	7	8.5	5	
L-75x75x8t	75	75	8	8.5	6	
L-75x75x9t	75	75	9	8.5	6	
L-80x80x6t	80	80	6	8.5	4	
L-80x80x7t	80	80	7	8.5	5	
L-80x80x8t	80	80	8	8.5	6	
L-80x80x9t	80	80	9	8.5	6	
L-90x90x8t	90	90	8	8.5	6	
L-90x90x9t	90	90	9	10	6	
L-90x90x10t	90	90	10	10	7	
L-100x100x8t	100	100	8	10	6	
L-100x100x9t	100	100	9	10	6	
L-100x100x10t	100	100	10	10	7	
