#NAME?	BOLT	&	NUT--
Display	Kg		
M10x15L	0.03		
M10x20~35	0.04		
M10x40L	0.05		
M12x35L	0.06		
M12x40L	0.07		
M12x45L	0.07		
M12x50L	0.08		
M12x60L	0.085		
M12x70L	0.09		
M16x40L	0.13		
M16x45L	0.13		
M16x50L	0.14		
M16x55L	0.15		
M16x60L	0.16		
M16x100L	0.22		
M20x40L	0.23		
M20x45L	0.24		
M20x50L	0.25		
M20x55L	0.26		
M20x60L	0.27		
M20x65L	0.29		
M20x70L	0.3		
M20x75L	0.31		
M20x80L	0.32		
M20x85L	0.33		
M20x90L	0.35		
M20x95L	0.36		
M20x100L	0.37		
M22x40L	0.28		
M22x45L	0.29		
M22x50L	0.3		
M22x55L	0.32		
M22x60L	0.33		
M22x65L	0.35		
M22x70L	0.36		
M24x50L	0.39		
M24x55L	0.41		
M24x60L	0.43		
M24x65L	0.44		
M24x70L	0.46		
M24x75L	0.48		
			
			
#NAME?	NUT--+		
3/8-16UNC	10		
1/2-13UNC	23		
5/8-11UNC	47		
3/4-10UNC	75		
7/8-9UNC	113		
1-8UNC	163		
1_1/8-8UN	239		
1_1/4-8UN	316		
1_3/8-8UN	423		
1_1/2-8UN	544		
