	Display	H	B	T1	T2	R1	R2	Kg/m	
---------+----+---	-+----+----+----+----+----+----+-----+								
○	:사용가능품목SIZE								
Х	:재고확인품목SIZE								
Х	:금속	중량표	SIZE						
[-75x40x5x7	○	75	40	5	7	8	4	6.92	
[-100x50x5x7.5	○	100	50	5	7.5	8	4	9.36	
[-125x65x6x8	○	125	65	6	8	8	4	13.4	
[-150x75x6.5x10	○	150	75	6.5	10	10	5	18.6	
[-150x75x9x12.5	○	150	75	9	12.5	15	7.5	24	
[-180x75x7x10.5	Х	180	75	7	10.5	11	5.5	21.4	
[-200x50x7.5x11	Х	200	50	7.5	11	12	6	17.2	
[-200x80x7.5x11	○	200	80	7.5	11	12	6	24.6	
[-200x90x8x13.5	○	200	90	8	13.5	14	7	30.3	
[-250x90x9x13	○	250	90	9	13	14	7	34.6	
[-250x90x11x14.5	Х	250	90	11	14.5	17	8.5	40.2	
[-300x90x9x13	○	300	90	9	13	14	7	38.1	
[-300x90x10x15.5	Х	300	90	10	15.5	19	9.5	43.8	
[-300x90x12x16	Х	300	90	12	16	19	9.5	48.6	
[-380x100x10.5x16	○	380	100	10.5	16	18	9	54.5	
[-380x100x13x16.5	Х	380	100	13	16.5	18	9	62	
[-380x100x13x20	Х	380	100	13	20	24	12	67.3	
---------+----+----+----+----+----+----+----+----+-----+									
MC100x50x5.0x7.7		100	50	5	7.7	8	4	9.6	;;ISMC100
MC150x75x5.7x9.0		150	75	5.7	9	10	5	16.8	;;ISMC150
MC200x75x6.2x11.4		200	75	6.2	11.4	12	6	22.3	;;ISMC200
---------+----+----+----+----+----+----+----+----+-----+									
UPN120		120	55	7	9	9	4.5	13.4	
UPN140		140	60	7	10	10	5	16	
UPN160		160	65	7.5	10.5	10.5	5.5	18.8	
UPN180		180	70	8	11	11	5.5	22	
UPN200		200	75	8.5	11.5	11.5	6	25.3	
UPN220		220	80	9	12.5	12.5	6.5	29.4	
UPN240		240	85	9.5	13	13	6.5	33.2	
---------+----+----+----+----+----+----+----+----+-----+									
T-125x175x7x11		125	175	7	11	16	9	22.1	
-------------------	ASME	------------------------							
C4x5.4		102	40.2	4.7	7.5	8	4	8	
C4x7.25		101.6	43.7	8.2	7.5	8	4	8	
C6x8.2		152	48	5.1	8.7	10	5	12.2	
C6x10.5		152	51	8	8.7	10	5	15.6	
C7x12.25		177.8	55.7	8	9.3	9.3	5	15.6	
C8x11.5		203	57	5.6	9.9	10	5	17.1	
C10x15.3		254	66	6.1	11.1	10	5	17.1	
MC8x18.7(200x27.8)		203	75	9	12.7	12	6	27.8	
