	Display	g
--------------------------------------------		
1มพ		
M10	12	
M12	17	
M16	34	
M20	64	
M22	79	
M24	110	
M27	160	
M30	230	
M36	395	
M42	653	
M45	802	
M48	978	
		
2มพ		
M10	12	
M12	17	
M16	33	
M20	64	
M22	78	
M24	109	
M27	159	
M30	229	
M36	393	
M42	648	
M45	797	
M48	892	
		
3มพ		
M10	8	
M12	12	
M16	25	
M20	48	
M22	56	
M24	80	
M27	115	
M30	171	
M36	283	
M42	474	
M45	595	
M48	739	
		
--------------------------------------------		
HEAVY_METRIC		
M12	21	
M16	42	
M20	81	
M22	97	
M24	140	
M30	284	
M36	480	
M42	785	
M48	1200	
M52	1450	
M56	1730	
M64	2390	
M72	3200	
M76	3600	
M90	6000	
--------------------------------------------		
HEAVY_UNIFI		
1/4-20UNC	5	0.25
5/16-18UNC	7	0.3125
3/8-16UNC	10	0.375
7/16-14UNC	17	0.4375
1/2-13UNC	23	0.5
9/16-12UNC	36	0.5625
5/8-11UNC	47	0.625
3/4-10UNC	75	0.75
7/8-9UNC	113	0.875
1-8UNC	163	1
1_1/8-8UN	239	1.125
1_1/4-8UN	316	1.25
1_3/8-8UN	423	1.375
1_1/2-8UN	544	1.5
1_5/8-8UN	810	1.625
1_3/4-8UN	920	1.75
1_7/8-8UN	1140	1.875
2-8UN	1350	2
2_1/4-8UN	1880	2.25
2_1/2-8UN	2550	2.5
2_3/4-8UN	3380	2.75
3-8UN	4350	3
3_1/4-8UN	5470	3.25
3_1/2-8UN	6810	3.5
3_3/4-8UN	8370	3.75
4-8UN	10090	4
