 Display            H         B         T1        T2        R1        R2
--------------------|---------|---------|---------|---------|---------|
C15X50              381.000   94.386    18.186    16.510    12        20
C15X40              381.000   89.408    13.208    16.510    12        20
C15X33.9            381.000   86.360    10.160    16.510    12        20
C12X30              304.800   80.518    12.954    12.725    8         15
C12X25              304.800   77.394    9.830     12.725    8         15
C12X20.7            304.800   74.727    7.163     12.725    8         15
C10X30              254.000   77.038    17.094    11.074    7         15
C10X25              254.000   73.304    13.360    11.074    7         15
C10X20              254.000   69.571    9.627     11.074    7         15
C10X15.3            254.000   66.040    6.096     11.074    7         10
C9X20               228.600   67.259    11.379    10.490    6         15
C9X15               228.600   63.119    7.239     10.490    6         12
C9X13.4             228.600   61.798    5.918     10.490    6         10
C8X18.75            203.200   64.186    12.370    9.906     5         15
C8X13.75            203.200   59.512    7.696     9.906     5         12
C8X11.5             203.200   57.404    5.588     9.906     5         8
C7X14.75            177.800   58.395    10.643    9.296     5         18
C7X12.25            177.800   55.728    7.976     9.296     5         14
C7X9.8              177.800   53.086    5.334     9.296     5         8
C6X13               152.400   54.788    11.100    8.712     4         15
C6X10.5             152.400   51.664    7.976     8.712     4         12
C6X8.2              152.400   48.768    5.080     8.712     4         8
C5X9                127.000   47.879    8.255     8.128     4         14
C5X6.7              127.000   44.450    4.826     8.128     4         8
C4X7.25             101.600   43.713    8.153     7.518     4         14
C4X5.4              101.600   40.234    4.674     7.518     4         8
C3X6                76.200    40.538    9.042     6.934     3         15
C3X5                76.200    38.049    6.553     6.934     3         10
C3X4.1              76.200    35.814    4.318     6.934     3         8
