  0.5   21.34 0  0    0.1   0.1 0    0.2   0.2 0  0  0   0   
 0.75   26.67 0  0    0.1   0.1 0    0.2   0.2 0  0  0   0   
   1    33.40 0  0    0.3   0.3 0    0.3   0.3 0  0    0.3    0.4  
 1.25   42.16 0  0    0.4   0.4 0    0.5   0.5 0  0    0.5    0.8  
  1.5   48.26 0  0    0.4   0.4 0    0.7   0.7 0  0    1.0    1.1  
   2    60.33 0  0    0.8   0.8 0    1.2   1.2 0  0    1.6    2.0  
  2.5   73.03 0  0    1.8   1.8 0    2.1   2.1 0  0    3.0    3.8  
   3    88.90 0  0    2.6   2.6 0    3.5   3.5 0  0    4.4    5.8  
  3.5  101.60 0  0    3.5   3.5 0    4.5   4.5 0  0  0     8.5  
   4   114.30 0  0    4.5   4.5 0    6.1   6.1 0    7.8   8.8   10.8  
   5   141.30 0  0    7.5   7.5 0   10.8  10.8 0   13.9  16.0   19.0  
   6   168.28 0  0   12.0  12.0 0   17.5  17.5 0   22.6  30.0   32.0  
   8   219.08  18.2  20.4  23.0  23.0  29.4  35.0  35.0   42   50.4  62.0   60.0  
  10   273.05  28.4  35.7  43.0  43   0    67    53    79    92   130   0   
  12   323.85  41    54    66    62    91    109    84   134   155   225   0   
  14   355.60  66   0   91    80    123   154   100  0   213   286   0   
  16   406.40  86    100   135   100   178   225   135  0  0   405   0   
  18   457.20  110   154   195   126   247   317   168  0  0  0   0   
  20   508.00  160   206   253   160   345   431   206  0  0  0   0   
  22   558.80  197   260  0   197  0  0   260  0  0  0   0   
  24   609.60  238   351   423   238   594   735   300  0  0  0   0
  26   660.40  275  0  0   275  0  0   365  0  0  0   0   
  30   762.00  367  0  0   367  0  0   488  0  0  0   0   


