         DIMENSIONS OF WELDED AND SEAMLESS TEE (¥‹¿ß;lbs)
TEE
+-----+------+-----+-----+-----+-----+-----+-----+-----+-----+-----+------+------+
|PIPE | OUT- | SCH.| SCH.| SCH.| SCH.| SCH.| SCH.| SCH.| SCH.| SCH.| SCH. | SCH. |
|SIZE | SIDE |  20 |  30 |  40 | STD |  60 |  80 |  XS | 100 | 120.| 160  | XXS  |  
+-----+------+-----+-----+-----+-----+-----+-----+-----+-----+-----+------+------+
| 0.5 | 21.34|     |     |  0.4|  0.4|     |  0.5|  0.5|     |     |  0.5 |      |
|0.75 | 26.67|     |     |  0.5|  0.5|     |  0.6|  0.6|     |     |  0.6 |      |
|  1  | 33.40|     |     |  0.8|  0.8|     |  0.9|  0.9|     |     |  1.0 |  1.3 |
|1.25 | 42.16|     |     |  1.3|  1.3|     |  1.6|  1.6|     |     |  2.0 |  2.5 |
| 1.5 | 48.26|     |     |  2.0|  2.0|     |  2.3|  2.3|     |     |  3.0 |  3.4 |
|  2  | 60.33|     |     |  3.5|  3.5|     |  4.0|  4.0|     |     |  5.0 |  6.3 |
| 2.5 | 73.03|     |     |  6.0|  6.0|     |  7.0|  7.0|     |     |  8.0 | 10.5 |
|  3  | 88.90|     |     |  7.0|  7.0|     |  8.5|  8.5|     |     | 10.0 | 13.5 |
| 3.5 |101.60|     |     |  9.0|  9.0|     | 12.0| 12.0|     |     |      | 18.0 |
|  4  |114.30|     |     | 12.0| 12.0|     | 15.8| 15.8|     | 23.5| 25.0 | 25.0 |
|  5  |141.30|     |     | 21.0| 21.0|     | 26.0| 26.0|     | 44.5| 55.0 | 40.0 |
|  6  |168.28|     |     | 34.0| 34.0|     | 40.0| 40.0|     | 64.0| 62.0 | 68.0 |
|  8  |219.08| 54.0| 57.0| 55.0| 55.0| 76.0| 75.0| 75.0|  97 | 115 | 152  | 148  |
| 10  |273.05| 73.0| 81.0|  85 |  85 |     | 161 | 105 | 180 | 215 | 260  |      |
| 12  |323.85| 120 | 136 | 147 | 120 | 226 | 245 | 160 | 304 | 353 | 480  |      |
| 14  |355.60| 210 |     | 252 | 165 | 311 | 369 | 230 |     |     |      |      |
| 16  |406.40| 222 | 195 | 280 | 195 | 458 | 548 | 280 |     |     |      |      |
| 18  |457.20| 307 | 399 | 525 | 249 | 612 | 710 | 332 |     |     |      |      |
| 20  |508.00| 342 | 480 | 706 | 342 | 834 |1021 | 480 |     |     |      |      |
| 22  |558.80| 414 | 550 |     | 414 |     |     | 550 |     |     |      |      |
| 24  |609.60| 528 | 977 |1257 | 528 |1446 |1373 | 610 |     |     |      |      |
