******** H *   B  *  C  *   D *   K
 5      3.5    8     9.2    7.8   0.9
 6      4      10    11.5   9.8   1
 8      5.5    13    15     12.6  1.2
10      7      17    19.6   16.5  1.5
12      8      19    21.9   18    2
14      9      22    25.4   21    2
16      10     24    27.7   23    2
20      13     30    34.6   29    2.5
24      15     36    41.6   34    3
30      19     46    53.1   44    3.5
36      23     55    63.5   53    4
42      26     65    75     62    4.5
48      30     75    86.5   72    5
56      35     82    98.1   82    5.5
64      40     95    110    92    6
