 Display     g
--------------------------------------------
     1มพ   2มพ  3มพ
M10    12   12    8
M12    17   17   12 
M16    34   33   25
M20    64   64   48
M22    79   78   56
M24   110  109   80
M27   160  159  115
M30   230  229  171
M36   395  393  283
M42   653  648  474
M45   802  797  595
M48   978  892  739
--------------------------------------------
 HEAVY METRIC 
M12         21
M16         42
M20         81
M22         97
M24        140
M30        284
M36        480
M42        785
M48       1200
M52       1450
M56       1730
M64       2390
M72       3200
M76       3600
M90       6000
--------------------------------------------
 HEAVY UNIFI
1/4 -20UNC   5     0.25
5/16-18UNC   7     0.3125
3/8 -16UNC  10     0.375
7/16-14UNC  17     0.4375
1/2 -13UNC  23     0.5
9/16-12UNC  36     0.5625
5/8 -11UNC  47     0.625
3/4 -10UNC  75     0.75
7/8 -9UNC  113     0.875
1   -8UNC  163     1
1 1/8-8UN  239     1.125
1 1/4-8UN  316     1.25
1 3/8-8UN  423     1.375
1 1/2-8UN  544     1.5
1 5/8-8UN  810     1.625
1 3/4-8UN  920     1.75
1 7/8-8UN 1140     1.875
2    -8UN 1350     2
2 1/4-8UN 1880     2.25
2 1/2-8UN 2550     2.5
2 3/4-8UN 3380     2.75
3    -8UN 4350     3
3 1/4-8UN 5470     3.25
3 1/2-8UN 6810     3.5
3 3/4-8UN 8370     3.75
4    -8UN 10090    4

